participant_id,order,react,comment,post_tenure,tenure_units,human (y/n),race,gender,notes,manual_diag
9706,8,1,0,27,days,1,white,female,,0
9706,9,1,0,32,days,1,black or African American,female,,0
9706,10,1,0,36,days,1,asian,male,,0
4463,1,1,0,1,days,1,asian,female,,0
4463,2,1,0,1,days,1,asian,male,,0
4463,3,1,0,3,days,0,,,,0
4463,4,1,0,3,days,1,asian,male,,0
4463,5,1,0,3,days,1,asian,female,,0
4463,6,1,0,3,days,1,asian,male,,0
4463,7,1,0,4,days,1,asian,female,,0
4463,8,1,0,4,days,0,,,,0
4463,9,1,0,4,days,1,white,female,,0
4463,10,1,0,5,days,1,white,female,,0
3984,1,1,0,1,days,0,,,,0
3984,2,1,0,1,days,0,,,,0
3984,3,1,0,1,days,0,,,,0
3984,4,1,0,1,days,1,white,female,,0
3984,5,1,0,2,days,1,white,female,,0
3984,6,0,1,3,days,1,white,male,,0
3984,7,1,0,2,days,1,hispanic,male,,0
3984,8,1,0,2,days,1,hispanic,female,,0
3984,9,1,0,3,days,1,hispanic,male,,0
3984,10,1,0,2,year,0,,,,0
7618,1,1,0,4,Hours,0,,,society and culture website,0
7618,2,1,0,23,Hours,1,White,Male,,0
7618,3,1,0,2,Days,1,White,Female,,0
7618,4,1,0,4,Days,1,White,Female,,0
7618,5,1,1,6,Days,1,White,Male,in turkish,0
7618,6,1,0,10,Days,1,White,Female,,0
7618,7,1,0,10,Days,1,White,Female,in turkish,0
7618,8,1,0,12,Days,1,White,Female,,0
7618,9,1,0,16,Days,1,White,Male,,0
7618,10,1,0,16,Days,1,White,Male,,0
4877,1,1,0,1,Days,1,White,Female,,0
4877,2,1,0,4,Days,1,White,Female,,0
4877,3,1,0,7,Days,1,Hispanic,Female,,0
4877,4,1,0,8,Days,1,Black or African American,Female,,0
4877,5,1,0,8,Days,1,Hispanic,Female,,0
4877,6,1,0,10,Days,1,Hispanic,Female,,0
4877,7,1,0,12,Days,1,Hispanic,Female,,0
4877,8,1,0,11,Days,1,Black or African American,Female,,0
4877,9,1,0,10,Days,1,Asian,Female,,0
4877,10,1,0,,Days,1,Hispanic,Female,493 days ago. Wouldn't let me enter it,0
7124,1,1,0,1,days,1,asian,female,,0
7124,2,1,0,1,days,1,asian,male,,0
7124,3,1,0,2,days,1,asian,male,,0
7124,4,1,0,2,days,1,asian,female,,0
7124,5,1,0,2,days,1,asian,female,,0
7124,6,1,0,2,days,1,asian,female,,0
7124,7,1,0,3,days,1,white,female,,0
7124,8,1,0,5,days,1,asian,male,,0
7124,9,0,1,7,days,1,asian,male,,0
7124,10,1,0,7,days,1,asian,male,,0
3637,1,1,0,1,days,0,,,,0
3637,2,1,0,2,days,1,white,male,,0
3637,3,1,0,2,days,1,white,female,,0
3637,4,0,1,3,days,1,white,female,,0
3637,5,1,0,3,days,1,white,female,,0
3637,6,1,0,3,days,1,white,female,,0
3637,7,1,0,3,days,1,white,female,,0
3637,8,1,0,5,days,1,white,female,,0
3637,9,0,1,5,days,1,white,female,,0
3637,10,1,0,5,days,1,white,female,,0
3446,1,1,0,18,hours,1,white,male,,0
3446,2,1,0,1,days,1,white,female,,0
3446,3,1,0,1,days,1,asian,female,,0
3446,4,1,0,22,hours,1,white,female,,0
3446,5,1,0,1,days,1,white,female,,0
3446,6,1,0,1,days,1,white,female,,0
3446,7,1,0,14,days,1,asian,female,,0
3446,8,0,1,3,days,1,Black or African American,male,,0
3446,9,1,1,4,days,1,asian,female,,0
3446,10,1,0,8,days,1,asian,male,,0
